date,retail_volume,unemployment_rate,consumer_confidence,industrial_production,hicp
2025-03,109.0000000000,10.8000000000,12.3000000000,102.0000000000,99.2200000000
2025-04,110.9000000000,10.6000000000,12.0000000000,101.6000000000,99.8400000000
2025-05,110.8000000000,10.6000000000,18.0000000000,101.6000000000,99.8100000000
2025-06,112.0000000000,10.5000000000,17.2000000000,102.8000000000,100.4900000000
2025-07,111.5000000000,10.6000000000,18.3000000000,102.3000000000,100.1500000000
2025-08,111.9000000000,10.5000000000,8.8000000000,102.1000000000,100.1800000000
2025-09,112.3000000000,10.4000000000,16.1000000000,102.6000000000,100.4200000000
2025-10,112.2000000000,10.2000000000,20.2000000000,103.4000000000,100.9500000000
2025-11,113.3000000000,10.1000000000,22.0000000000,104.5000000000,100.9600000000
2025-12,112.2000000000,10.2000000000,19.2000000000,102.0000000000,101.2900000000
